,koff,mean_N,var_N
76,19.099999999999998,17.41,29.661900000000003
77,19.349999999999998,17.09,33.141899999999964
78,19.599999999999998,17.01,31.68989999999991
79,19.849999999999998,16.61,28.39790000000005
80,20.099999999999998,16.26,25.5123999999999
81,20.349999999999998,16.27,28.477100000000007
82,20.599999999999998,16.16,28.834400000000016
83,20.849999999999998,15.66,23.824399999999997
84,21.099999999999998,15.44,27.266400000000033
85,21.349999999999998,15.36,27.750400000000013
86,21.599999999999998,15.49,24.32989999999998
87,21.849999999999998,15.38,24.715599999999966
88,22.099999999999998,15.67,24.52109999999999
89,22.349999999999998,15.51,25.84990000000002
90,22.599999999999998,15.1,25.350000000000023
91,22.849999999999998,14.84,19.1944
92,23.099999999999998,14.65,19.48750000000001
93,23.349999999999998,14.65,17.507499999999993
94,23.599999999999998,14.38,17.235599999999977
95,23.849999999999998,14.32,20.57759999999999
96,24.099999999999998,13.86,17.42040000000003
97,24.349999999999998,13.7,17.110000000000042
98,24.599999999999998,13.85,16.747500000000002
99,24.849999999999998,13.8,15.71999999999997
100,25.099999999999998,13.8,18.099999999999966
101,25.349999999999998,13.39,16.3579
102,25.599999999999998,13.52,18.36960000000002
103,25.849999999999998,13.15,20.067499999999995
104,26.099999999999998,13.07,18.145099999999985
105,26.349999999999998,13.05,19.987499999999983
106,26.599999999999998,12.63,18.073099999999982
107,26.849999999999998,12.54,18.088400000000036
108,27.099999999999998,12.5,17.310000000000002
109,27.349999999999998,12.3,18.22999999999999
110,27.599999999999998,12.34,17.8844
111,27.849999999999998,12.47,19.589099999999974
112,28.099999999999998,12.48,18.929599999999994
113,28.349999999999998,12.43,19.765100000000018
114,28.599999999999998,12.34,21.62440000000001
115,28.849999999999998,12.35,19.067500000000024
116,29.099999999999998,12.21,18.48589999999996
117,29.349999999999998,11.96,17.718399999999974
118,29.599999999999998,12.42,18.62360000000001
119,29.849999999999998,11.98,17.979599999999976
120,30.099999999999998,11.84,20.37440000000001
121,30.349999999999998,11.64,18.11039999999997
122,30.599999999999998,11.47,16.969099999999997
123,30.849999999999998,10.92,16.013599999999997
124,31.099999999999998,11.24,17.462400000000002
125,31.349999999999998,11.16,17.514399999999995
126,31.599999999999998,10.97,15.049099999999967
127,31.849999999999998,10.82,14.107600000000005
128,32.099999999999994,10.54,14.42840000000001
129,32.349999999999994,10.56,13.40639999999999
130,32.599999999999994,10.13,13.973099999999988
131,32.849999999999994,10.13,15.01309999999998
132,33.099999999999994,9.91,14.3219
133,33.349999999999994,9.6,14.219999999999999
134,33.599999999999994,9.84,15.734400000000008
135,33.849999999999994,9.6,14.240000000000009
136,34.099999999999994,9.66,14.424399999999991
137,34.349999999999994,9.53,13.789100000000005
138,34.599999999999994,9.78,15.071600000000018
139,34.849999999999994,9.89,14.53789999999998
140,35.099999999999994,9.68,14.317599999999999
141,35.349999999999994,9.58,14.4636
142,35.599999999999994,9.47,14.029099999999985
143,35.849999999999994,9.3,13.769999999999996
144,36.099999999999994,9.47,12.589099999999988
145,36.349999999999994,9.29,12.665900000000008
146,36.599999999999994,9.4,12.23999999999998
147,36.849999999999994,9.16,11.994399999999999
148,37.099999999999994,9.1,11.830000000000013
149,37.349999999999994,9.24,13.102400000000003
150,37.599999999999994,9.21,13.18589999999999
151,37.849999999999994,8.93,12.365099999999998
152,38.099999999999994,9.07,10.885099999999994
153,38.349999999999994,9.04,11.878400000000013
154,38.599999999999994,9.1,12.550000000000011
155,38.849999999999994,8.84,13.114400000000003
156,39.099999999999994,8.72,13.901599999999988
157,39.349999999999994,8.79,12.72590000000001
158,39.599999999999994,8.58,12.843599999999995
159,39.849999999999994,8.5,12.349999999999994
160,40.099999999999994,8.61,10.397900000000007
161,40.349999999999994,8.5,11.89
162,40.599999999999994,8.35,10.367500000000007
163,40.849999999999994,8.25,9.247500000000002
164,41.099999999999994,8.06,8.456399999999988
165,41.349999999999994,8.16,9.234399999999994
166,41.599999999999994,8.06,9.076399999999992
167,41.849999999999994,8.05,9.227499999999992
168,42.099999999999994,7.85,9.067500000000003
169,42.349999999999994,7.94,9.156399999999998
170,42.599999999999994,7.71,8.985900000000008
171,42.849999999999994,7.69,8.853899999999989
172,43.099999999999994,7.59,8.121900000000004
173,43.349999999999994,7.61,8.677900000000001
174,43.599999999999994,7.61,8.217899999999993
175,43.849999999999994,7.32,7.977599999999995
176,44.099999999999994,7.39,8.917900000000003
177,44.349999999999994,7.43,9.525100000000009
178,44.599999999999994,7.41,10.181899999999999
179,44.849999999999994,7.57,10.04509999999999
180,45.099999999999994,7.55,9.007500000000007
181,45.349999999999994,7.27,9.197100000000006
182,45.599999999999994,7.14,8.900400000000005
183,45.849999999999994,7.2,9.439999999999998
184,46.099999999999994,7.15,10.707499999999996
185,46.349999999999994,7.22,10.751600000000003
186,46.599999999999994,7.05,11.087499999999999
187,46.849999999999994,6.96,11.3384
188,47.099999999999994,6.95,10.587499999999999
189,47.349999999999994,6.97,10.069099999999999
190,47.599999999999994,6.82,10.387599999999992
191,47.849999999999994,6.83,10.381100000000004
192,48.099999999999994,6.97,11.949100000000001
193,48.349999999999994,7.1,12.430000000000007
194,48.599999999999994,7.12,12.445599999999999
195,48.849999999999994,6.99,13.569899999999997
196,49.099999999999994,7.05,12.667499999999997
197,49.349999999999994,7.09,12.841900000000003
198,49.599999999999994,6.94,12.236399999999996
199,49.849999999999994,6.83,11.4011
