,koff,mean_N,var_N
105,1.7499999999999996,192.99,2166.1498999999967
106,1.7749999999999997,188.08,2044.3935999999958
107,1.7999999999999996,185.01,1936.909900000006
108,1.8249999999999997,184.12,2068.005599999997
109,1.8499999999999996,182.39,2006.517899999999
110,1.8749999999999996,178.75,2151.167500000003
111,1.8999999999999997,179.62,2049.6155999999974
112,1.9249999999999996,176.12,2122.4855999999963
113,1.9499999999999995,170.82,2200.4676
114,1.9749999999999996,167.46,2258.348399999999
115,1.9999999999999996,167.1,2312.8300000000017
116,2.0249999999999995,165.84,2376.2743999999984
117,2.05,163.93,2392.0851000000002
118,2.0749999999999993,163.51,2448.8699000000015
119,2.0999999999999996,160.79,2484.765900000002
120,2.1249999999999996,161.3,2549.7499999999964
121,2.1499999999999995,156.76,2281.5424000000057
122,2.1749999999999994,154.35,2082.7475000000013
123,2.1999999999999997,151.09,2018.2219000000005
124,2.2249999999999996,147.45,1886.587500000005
125,2.2499999999999996,145.59,1517.1418999999987
126,2.2749999999999995,143.47,1525.9091000000008
127,2.2999999999999994,142.31,1560.6539000000012
128,2.3249999999999993,139.08,1563.613599999997
129,2.3499999999999996,137.16,1581.434400000002
130,2.3749999999999996,135.64,1486.530400000007
131,2.3999999999999995,135.37,1447.0530999999974
132,2.4249999999999994,134.79,1481.6859000000004
133,2.4499999999999993,134.24,1404.2023999999983
134,2.4749999999999996,132.13,1419.8531000000003
135,2.4999999999999996,129.85,1222.447500000002
136,2.5249999999999995,128.5,1209.8100000000013
137,2.5499999999999994,126.78,1198.1115999999984
138,2.5749999999999993,125.97,1150.2690999999995
139,2.5999999999999996,125.55,1247.3674999999985
140,2.6249999999999996,123.28,1320.8816000000006
141,2.6499999999999995,121.87,1282.753099999998
142,2.6749999999999994,121.24,1258.4224000000013
143,2.6999999999999993,119.65,1184.7074999999986
144,2.7249999999999996,117.81,1186.633899999999
145,2.7499999999999996,115.37,1042.3530999999984
146,2.7749999999999995,117.04,1120.5783999999985
147,2.7999999999999994,114.78,1103.891599999999
148,2.8249999999999993,113.7,1077.4699999999993
149,2.849999999999999,111.15,1058.507499999998
150,2.8749999999999996,111.22,1065.9115999999995
151,2.8999999999999995,111.31,1064.8138999999992
152,2.9249999999999994,109.53,1002.4290999999994
153,2.9499999999999993,108.7,1019.5299999999988
154,2.974999999999999,108.12,1023.7855999999992
155,2.9999999999999996,107.21,1034.9459000000024
156,3.0249999999999995,106.45,1016.5074999999997
157,3.0499999999999994,103.9,960.0899999999983
158,3.0749999999999993,103.06,982.6563999999998
159,3.099999999999999,103.25,1009.9874999999993
160,3.124999999999999,101.21,983.7859000000008
161,3.1499999999999995,100.63,937.6131000000005
162,3.1749999999999994,99.24,943.3224000000009
163,3.1999999999999993,98.88,971.4856
164,3.224999999999999,98.08,991.9535999999989
165,3.249999999999999,97.54,974.348399999999
166,3.2749999999999995,96.84,925.7944000000007
167,3.2999999999999994,95.51,881.3898999999983
168,3.3249999999999993,94.83,903.9010999999991
169,3.349999999999999,94.01,902.8498999999993
170,3.374999999999999,93.6,875.6200000000008
171,3.3999999999999995,93.01,940.709899999998
172,3.4249999999999994,92.26,892.6124
173,3.4499999999999993,90.85,803.2474999999995
174,3.474999999999999,89.85,792.7675000000017
175,3.499999999999999,89.02,790.539600000001
176,3.5249999999999995,89.26,826.8123999999989
177,3.5499999999999994,89.09,788.5019000000002
178,3.5749999999999993,88.82,787.9276000000009
179,3.599999999999999,88.04,774.598399999998
180,3.624999999999999,86.84,737.0743999999995
181,3.649999999999999,86.62,752.315599999999
182,3.6749999999999994,86.2,756.5599999999995
183,3.6999999999999993,86.53,722.369099999999
184,3.724999999999999,86.06,724.5563999999995
185,3.749999999999999,85.17,701.3611000000001
186,3.774999999999999,85.14,711.2804000000006
187,3.7999999999999994,84.94,692.0564000000004
188,3.8249999999999993,83.57,667.9251000000013
189,3.849999999999999,83.02,630.5996000000005
190,3.874999999999999,80.66,569.8244000000004
191,3.899999999999999,80.37,587.253099999999
192,3.924999999999999,80.68,606.6175999999987
193,3.9499999999999993,80.26,588.8723999999993
194,3.974999999999999,79.97,625.6491000000005
195,3.999999999999999,79.96,630.5984000000008
196,4.024999999999999,79.2,636.8399999999992
197,4.049999999999999,78.42,596.6835999999994
